,aus,ban,fin,rom,tur
aa,394,340,1509,0,0
ab,611,365,110,207,185
ac,57,0,0,419,149
ad,435,273,343,749,399
ae,0,88,98,30,0
af,0,277,0,72,0
ag,702,112,64,156,388
ah,951,288,300,2,105
ai,391,291,977,59,0
aj,111,520,327,83,0
ak,1440,910,435,0,498
al,1762,1425,1297,765,1056
am,1074,882,342,384,399
an,3857,1878,1417,1035,1431
ao,43,253,50,5,0
ap,840,212,185,223,214
aq,0,0,0,14,208
ar,1232,443,746,1300,1886
as,1123,460,1065,776,1012
at,1475,803,863,1256,528
au,194,149,251,102,0
av,0,49,363,131,78
aw,456,270,0,0,277
ax,0,0,0,8,0
ay,645,261,0,23,762
az,0,323,0,241,276
aŋ,1660,192,40,16,79
ba,1228,547,36,209,484
bb,1,0,0,47,5
bc,0,0,0,0,0
bd,6,0,0,0,6
be,408,117,28,92,249
bf,0,0,0,0,0
bg,0,0,0,0,0
bh,11,0,0,0,0
bi,418,315,31,208,422
bj,4,0,7,4,0
bk,3,0,1,0,0
bl,6,0,8,118,26
bm,2,0,0,1,0
bn,3,0,0,0,2
bo,147,120,6,83,188
bp,0,0,0,0,0
bq,0,0,0,0,0
br,11,0,15,131,7
bs,1,0,3,13,1
bt,2,0,0,15,2
bu,399,287,24,90,179
bv,0,0,0,1,1
bw,0,42,0,0,3
bx,0,0,0,0,0
by,0,0,0,0,1
bz,0,0,0,0,2
bŋ,0,0,0,0,0
ca,181,0,0,828,220
cb,0,0,0,0,3
cc,1,0,0,158,2
cd,0,0,0,0,0
ce,49,0,0,584,221
cf,0,0,0,0,0
cg,0,0,0,0,1
ch,0,0,0,217,0
ci,64,0,0,881,359
cj,0,0,0,0,0
ck,1,0,0,0,4
cl,2,0,0,119,48
cm,0,0,0,1,24
cn,0,0,0,9,1
co,30,0,0,1080,38
cp,0,0,0,0,0
cq,0,0,0,7,0
cr,0,0,0,211,14
cs,0,0,0,2,0
ct,0,0,0,243,0
cu,51,0,0,377,113
cv,0,0,0,2,0
cw,0,0,0,0,0
cx,0,0,0,0,0
cy,0,0,0,0,2
cz,0,0,0,0,2
cŋ,0,0,0,0,0
da,730,358,347,511,1114
db,0,0,0,1,0
dc,0,0,0,0,0
dd,3,0,0,13,30
de,131,193,415,690,908
df,0,0,0,0,0
dg,2,0,0,0,0
dh,3,199,0,0,0
di,804,469,190,623,1391
dj,1,0,3,2,0
dk,2,0,2,0,0
dl,7,0,22,0,11
dm,0,0,27,11,0
dn,1,0,9,1,0
do,70,149,78,749,108
dp,0,0,0,1,0
dq,0,0,0,4,0
dr,12,0,27,60,11
ds,0,0,10,0,0
dt,1,0,4,0,1
du,198,144,177,193,260
dv,0,0,2,0,1
dw,3,49,0,0,0
dx,0,0,0,0,0
dy,0,0,0,1,5
dz,0,0,0,1,6
dŋ,0,0,0,0,0
ea,31,386,192,396,0
eb,113,45,51,61,57
ec,28,0,0,536,128
ed,70,21,174,247,300
ee,0,33,564,0,0
ef,0,58,0,92,0
eg,73,67,82,285,202
eh,61,38,165,12,48
ei,30,29,414,162,0
ej,37,61,34,50,0
ek,174,430,224,0,581
el,345,363,957,440,558
em,439,215,336,283,300
en,573,485,1393,1619,879
eo,0,79,50,63,0
ep,102,112,41,131,61
eq,0,0,0,24,1
er,892,84,476,1346,1431
es,48,259,779,1504,183
et,155,207,717,371,567
eu,0,60,106,44,0
ev,0,34,199,162,131
ew,31,175,0,0,72
ex,0,0,0,119,0
ey,4,12,0,9,287
ez,0,427,0,132,132
eŋ,318,155,16,14,103
fa,0,463,0,116,0
fb,0,0,0,0,0
fc,0,0,0,0,0
fd,0,0,0,0,0
fe,0,21,0,206,0
ff,0,0,0,56,0
fg,0,0,0,0,0
fh,0,0,0,0,0
fi,0,184,0,281,0
fj,0,0,0,0,0
fk,0,0,0,0,0
fl,0,0,0,47,0
fm,0,0,0,1,0
fn,0,0,0,1,0
fo,0,15,0,143,0
fp,0,0,0,0,0
fq,0,0,0,0,0
fr,0,0,0,111,0
fs,0,0,0,0,0
ft,0,0,0,1,0
fu,0,483,0,80,0
fv,0,0,0,0,0
fw,0,1,0,0,0
fx,0,0,0,0,0
fy,0,0,0,0,0
fz,0,0,0,0,0
fŋ,0,0,0,0,0
ga,867,159,106,202,441
gb,0,0,0,1,0
gc,0,0,0,0,0
gd,0,0,1,0,35
ge,74,80,100,136,420
gf,0,0,0,0,0
gg,0,0,0,86,0
gh,0,34,0,10,0
gi,208,52,96,268,939
gj,1,0,0,0,0
gk,0,0,5,0,0
gl,3,0,7,58,69
gm,2,1,8,4,6
gn,6,0,13,63,4
go,107,96,10,100,181
gp,0,1,4,0,0
gq,0,0,0,0,1
gr,7,0,4,134,47
gs,0,0,5,0,0
gt,0,0,0,0,6
gu,195,83,123,129,240
gv,0,0,0,0,0
gw,0,25,0,0,3
gx,0,0,0,0,0
gy,0,0,0,0,0
gz,0,0,0,0,5
gŋ,0,0,0,0,0
ha,916,1107,261,67,214
hb,1,0,0,0,3
hc,0,0,0,0,7
hd,0,0,114,0,1
he,48,124,289,100,30
hf,0,1,0,0,0
hg,0,0,0,0,1
hh,0,0,0,0,0
hi,343,717,213,127,88
hj,0,0,70,0,0
hk,38,0,34,0,2
hl,4,0,3,0,16
hm,6,3,29,1,5
hn,0,1,15,6,13
ho,73,115,88,39,12
hp,0,0,0,0,0
hq,0,0,0,0,0
hr,2,0,3,4,23
hs,0,1,1,0,15
ht,3,9,310,0,22
hu,173,612,64,16,32
hv,0,0,37,0,2
hw,2,192,0,0,1
hx,0,0,0,0,0
hy,0,0,0,1,1
hz,0,0,0,0,1
hŋ,0,0,0,0,0
ia,415,876,397,754,0
ib,240,219,27,100,55
ic,35,0,0,727,120
id,156,215,365,386,144
ie,0,94,298,750,0
if,0,297,0,123,0
ig,202,122,84,159,425
ih,230,88,222,2,58
ii,51,106,739,0,0
ij,30,156,115,17,0
ik,593,1150,685,0,596
il,562,1047,574,359,1325
im,302,625,480,336,656
in,1240,1032,1354,986,2407
io,0,409,165,871,0
ip,314,338,64,108,228
iq,0,0,0,5,204
ir,306,337,274,237,1207
is,482,1026,1674,602,1207
it,604,729,1112,726,217
iu,51,102,33,190,0
iv,0,64,256,290,23
iw,107,598,0,0,2
ix,0,0,0,5,0
iy,62,267,0,0,276
iz,0,361,0,197,362
iŋ,522,179,69,38,454
ja,291,230,860,56,0
jb,0,0,0,1,0
jc,0,0,0,0,0
jd,0,0,0,0,0
je,37,121,111,69,0
jf,0,0,0,0,0
jg,0,0,0,0,0
jh,0,0,0,0,0
ji,57,658,29,9,0
jj,0,0,0,0,0
jk,0,0,0,0,0
jl,0,0,0,5,0
jm,0,0,0,1,0
jn,0,0,0,0,0
jo,20,20,277,54,0
jp,0,0,0,0,0
jq,0,0,0,0,0
jr,1,0,0,0,0
js,0,0,0,0,0
jt,0,0,0,0,0
ju,136,149,190,71,0
jv,0,0,0,0,0
jw,0,28,0,0,0
jx,0,0,0,0,0
jy,0,0,0,0,0
jz,0,0,0,0,0
jŋ,0,0,0,0,0
ka,2422,1507,931,0,563
kb,19,0,0,0,2
kc,0,0,0,0,15
kd,19,0,0,0,3
ke,337,316,499,0,431
kf,0,1,0,0,0
kg,0,0,0,0,0
kh,28,6,0,0,0
ki,446,1329,664,0,570
kj,0,0,1,0,0
kk,20,0,268,0,28
kl,0,0,22,0,262
km,13,0,12,0,29
kn,10,5,14,0,6
ko,271,309,756,0,341
kp,3,0,1,0,3
kq,0,0,0,0,0
kr,0,0,17,0,23
ks,68,17,542,0,75
kt,79,18,32,0,311
ku,400,2035,653,0,316
kv,0,0,6,0,5
kw,2,159,0,0,1
kx,0,0,0,0,0
ky,0,1,0,0,6
kz,0,1,0,0,0
kŋ,0,0,0,0,0
la,1814,207,1051,552,1487
lb,16,3,6,13,22
lc,1,0,0,30,43
ld,9,0,87,21,388
le,152,539,674,762,1041
lf,0,9,0,5,0
lg,7,1,66,19,209
lh,5,1,0,0,0
li,873,2877,1001,659,1428
lj,2,0,87,1,0
lk,31,11,142,0,50
ll,18,0,713,242,172
lm,11,11,198,46,256
ln,0,0,14,5,3
lo,239,133,306,371,44
lp,3,1,27,11,9
lq,0,0,0,2,20
lr,0,0,1,2,1
ls,13,5,23,7,49
lt,19,8,288,137,60
lu,375,55,419,361,347
lv,0,1,50,24,2
lw,1,2,0,0,23
lx,0,0,0,0,0
ly,0,0,0,0,20
lz,0,0,0,1,12
lŋ,0,0,0,0,0
ma,1802,1028,1053,497,882
mb,403,496,13,115,30
mc,0,0,0,1,20
md,8,10,0,1,166
me,623,594,484,595,576
mf,0,57,0,0,0
mg,0,22,0,0,12
mh,0,19,0,1,0
mi,363,670,606,395,632
mj,1,21,2,0,0
mk,9,88,2,0,12
ml,5,39,1,0,159
mm,5,0,129,46,12
mn,5,21,8,35,16
mo,103,115,150,233,35
mp,278,74,98,287,8
mq,0,0,0,0,1
mr,1,15,0,1,5
ms,5,91,10,0,45
mt,4,102,2,1,8
mu,317,303,269,119,239
mv,0,20,1,0,0
mw,0,220,0,0,5
mx,0,0,0,0,0
my,0,10,0,0,8
mz,0,59,0,0,10
mŋ,0,0,0,0,0
na,1878,1824,607,650,583
nb,2,0,0,0,7
nc,113,0,0,367,107
nd,406,747,267,466,989
ne,123,205,735,772,470
nf,0,0,0,93,0
ng,0,0,0,0,0
nh,10,0,23,1,0
ni,480,694,548,585,1082
nj,136,58,15,15,0
nk,28,6,136,0,18
nl,49,0,14,9,278
nm,5,1,9,7,128
nn,1,0,444,53,31
no,187,124,198,456,37
np,5,0,12,0,0
nq,0,0,0,19,1
nr,1,0,5,9,15
ns,108,24,155,267,84
nt,396,31,324,1382,78
nu,244,105,252,177,252
nv,0,1,13,56,3
nw,4,3,0,0,9
nx,0,0,0,0,0
ny,67,447,0,1,20
nz,0,221,0,137,15
nŋ,0,0,0,0,0
oa,10,167,65,118,0
ob,41,23,32,106,36
oc,7,0,0,287,31
od,82,55,140,120,36
oe,0,44,63,12,0
of,0,158,0,58,0
og,67,54,56,116,148
oh,40,61,225,6,4
oi,16,45,592,35,0
oj,4,108,92,6,0
ok,121,382,220,0,98
ol,168,175,476,417,527
om,122,180,238,356,106
on,240,365,435,1291,342
oo,0,66,404,0,0
op,56,102,183,206,96
oq,0,0,0,11,35
or,192,84,261,962,531
os,17,127,391,821,143
ot,128,280,334,198,87
ou,0,0,134,0,0
ov,0,32,46,145,14
ow,11,47,0,0,1
ox,0,0,0,9,0
oy,47,9,0,14,204
oz,0,116,0,31,177
oŋ,311,162,15,12,33
pa,2066,379,550,442,198
pb,3,0,0,0,0
pc,0,0,0,6,4
pd,1,0,0,0,0
pe,687,231,274,401,52
pf,0,0,0,0,0
pg,0,0,0,0,0
ph,1,0,0,1,0
pi,483,216,350,232,105
pj,0,0,0,0,0
pk,14,0,5,0,12
pl,0,0,10,145,62
pm,0,0,1,0,16
pn,0,0,2,0,3
po,153,284,197,419,34
pp,4,0,113,87,4
pq,0,0,0,0,7
pr,0,0,13,622,26
ps,5,0,21,6,21
pt,32,0,5,59,78
pu,284,78,224,189,9
pv,0,0,0,0,0
pw,0,12,0,0,0
px,0,0,0,0,0
py,0,0,0,0,5
pz,0,0,0,0,1
pŋ,0,0,0,0,0
qa,0,0,0,0,417
qb,0,0,0,0,0
qc,0,0,0,0,0
qd,0,0,0,0,0
qe,0,0,0,0,0
qf,0,0,0,0,0
qg,0,0,0,0,0
qh,0,0,0,0,0
qi,0,0,0,0,192
qj,0,0,0,0,0
qk,0,0,0,0,1
ql,0,0,0,0,0
qm,0,0,0,0,1
qn,0,0,0,0,0
qo,0,0,0,0,149
qp,0,0,0,0,12
qq,0,0,0,0,17
qr,0,0,0,0,0
qs,0,0,0,0,30
qt,0,0,0,0,118
qu,0,0,0,187,128
qv,0,0,0,0,0
qw,0,0,0,0,8
qx,0,0,0,0,0
qy,0,0,0,0,0
qz,0,0,0,0,2
qŋ,0,0,0,0,0
ra,1008,271,423,1194,617
rb,93,0,5,34,30
rc,28,0,0,147,43
rd,57,5,40,102,377
re,127,100,221,1777,460
rf,0,0,0,14,0
rg,55,1,67,95,148
rh,5,0,44,0,0
ri,475,568,625,1227,1676
rj,49,0,168,3,0
rk,141,0,158,0,124
rl,60,0,25,22,323
rm,71,0,59,186,174
rn,46,2,37,100,60
ro,126,74,128,709,51
rp,42,1,10,23,11
rq,0,0,0,9,16
rr,5,0,79,173,6
rs,101,2,54,146,113
rt,146,6,131,322,187
ru,258,184,140,240,351
rv,0,1,112,63,10
rw,17,0,0,0,23
rx,0,0,0,0,0
ry,0,1,0,1,3
rz,0,0,0,17,20
rŋ,0,0,0,0,0
sa,1159,390,1097,375,706
sb,3,0,3,8,6
sc,3,0,0,416,5
sd,7,0,0,1,0
se,307,91,1210,609,444
sf,0,1,0,44,0
sg,1,0,0,4,5
sh,22,1270,0,0,0
si,632,585,1083,556,1510
sj,2,0,17,0,0
sk,53,19,212,0,89
sl,6,0,22,24,128
sm,12,1,28,37,111
sn,6,3,15,4,3
so,99,68,197,319,186
sp,10,6,29,252,51
sq,0,0,0,7,67
sr,0,0,10,5,7
ss,10,0,507,230,33
st,26,72,1427,960,633
su,359,134,442,231,264
sv,0,0,55,19,9
sw,4,36,0,0,17
sx,0,0,0,0,0
sy,0,0,0,0,0
sz,0,0,0,0,0
sŋ,1,0,0,0,0
ta,1615,1066,2087,1474,988
tb,3,2,1,4,7
tc,0,0,0,1,9
td,0,0,0,2,0
te,325,350,1115,1378,566
tf,0,0,0,2,0
tg,0,0,0,0,1
th,20,98,0,0,0
ti,667,508,1139,1131,1246
tj,0,0,10,0,0
tk,32,1,96,0,99
tl,4,0,53,6,72
tm,3,1,22,2,63
tn,16,1,19,7,3
to,266,425,536,1046,165
tp,1,0,0,0,5
tq,0,0,0,0,31
tr,0,0,39,687,21
ts,1,1,234,0,24
tt,5,0,832,341,202
tu,626,365,856,411,368
tv,0,0,10,1,3
tw,1,101,0,0,19
tx,0,0,0,0,0
ty,0,2,0,0,3
tz,0,0,0,0,0
tŋ,0,0,0,0,0
ua,278,415,85,186,0
ub,121,176,44,84,44
uc,13,0,0,174,87
ud,108,149,401,89,71
ue,0,59,67,264,0
uf,0,211,0,20,0
ug,90,94,56,47,168
uh,203,162,148,0,23
ui,48,176,149,330,0
uj,38,190,36,20,0
uk,344,444,269,0,159
ul,518,562,428,553,410
um,491,675,137,134,251
un,518,501,414,329,526
uo,0,103,345,38,0
up,119,246,61,95,36
uq,0,0,0,4,27
ur,388,193,273,347,599
us,324,452,851,196,372
ut,325,470,513,304,90
uu,0,115,561,0,0
uv,0,59,132,26,31
uw,53,316,0,0,1
ux,0,0,0,4,0
uy,35,21,0,17,207
uz,0,201,0,52,199
uŋ,286,276,21,24,8
va,0,43,1306,295,117
vb,0,0,0,0,0
vc,0,0,0,0,6
vd,0,0,0,0,7
ve,0,0,168,342,97
vf,0,0,0,0,0
vg,0,0,2,0,5
vh,0,0,0,0,0
vi,0,266,382,342,60
vj,0,0,1,0,0
vk,0,0,4,0,2
vl,0,0,1,2,37
vm,0,0,0,0,1
vn,0,0,4,0,0
vo,0,11,209,205,5
vp,0,0,1,0,0
vq,0,0,0,0,0
vr,0,0,1,28,46
vs,0,0,7,0,9
vt,0,0,0,0,0
vu,0,181,139,21,27
vv,0,0,0,18,10
vw,0,0,0,0,0
vx,0,0,0,0,0
vy,0,0,0,0,5
vz,0,0,0,0,3
vŋ,0,0,0,0,0
wa,559,3078,0,0,54
wb,0,0,0,0,0
wc,0,0,0,0,0
wd,0,0,0,0,37
we,16,401,0,0,11
wf,0,0,0,0,0
wg,0,0,0,0,20
wh,0,0,0,0,0
wi,121,136,0,0,173
wj,0,0,0,0,0
wk,0,0,0,0,0
wl,0,0,0,0,35
wm,0,0,0,0,14
wn,0,0,0,0,0
wo,9,27,0,0,0
wp,0,0,0,0,1
wq,0,0,0,0,3
wr,1,0,0,0,22
ws,1,0,0,0,18
wt,3,0,0,0,0
wu,4,3,0,0,0
wv,0,0,0,0,0
ww,0,0,0,0,0
wx,0,0,0,0,0
wy,0,0,0,0,0
wz,0,0,0,0,2
wŋ,0,0,0,0,0
xa,0,0,0,7,0
xb,0,0,0,0,0
xc,0,0,0,14,0
xd,0,0,0,0,0
xe,0,0,0,10,0
xf,0,0,0,0,0
xg,0,0,0,0,0
xh,0,0,0,0,0
xi,0,0,0,33,0
xj,0,0,0,0,0
xk,0,0,0,0,0
xl,0,0,0,0,0
xm,0,0,0,0,0
xn,0,0,0,0,0
xo,0,0,0,4,0
xp,0,0,0,30,0
xq,0,0,0,0,0
xr,0,0,0,0,0
xs,0,0,0,0,0
xt,0,0,0,40,0
xu,0,0,0,6,0
xv,0,0,0,1,0
xw,0,0,0,0,0
xx,0,0,0,1,0
xy,0,0,0,0,0
xz,0,0,0,0,0
xŋ,0,0,0,0,0
ya,439,471,0,21,591
yb,7,0,0,0,18
yc,0,0,0,0,3
yd,0,0,0,0,138
ye,9,226,0,20,274
yf,0,0,0,0,0
yg,0,0,0,0,40
yh,0,0,0,0,0
yi,11,93,0,0,420
yj,0,0,0,0,0
yk,0,0,0,0,18
yl,1,0,0,2,179
ym,0,1,0,0,36
yn,4,1,0,0,86
yo,92,423,0,12,165
yp,1,0,0,0,10
yq,0,0,0,0,10
yr,1,0,0,0,49
ys,18,0,0,1,21
yt,4,0,0,0,60
yu,54,43,0,3,164
yv,0,0,0,0,14
yw,0,48,0,0,0
yx,0,0,0,0,0
yy,0,0,0,0,1
yz,0,0,0,0,2
yŋ,0,0,0,0,0
za,0,618,0,301,437
zb,0,1,0,7,16
zc,0,0,0,2,14
zd,0,0,0,1,116
ze,0,97,0,69,288
zf,0,0,0,0,0
zg,0,0,0,3,61
zh,0,0,0,0,0
zi,0,874,0,346,374
zj,0,0,0,0,0
zk,0,1,0,0,3
zl,0,0,0,0,61
zm,0,1,0,0,52
zn,0,0,0,0,4
zo,0,256,0,47,80
zp,0,0,0,0,1
zq,0,0,0,3,3
zr,0,0,0,0,2
zs,0,0,0,0,3
zt,0,0,0,0,1
zu,0,105,0,22,169
zv,0,0,0,11,0
zw,0,148,0,0,5
zx,0,0,0,0,0
zy,0,0,0,0,7
zz,0,0,0,72,0
zŋ,0,0,0,0,0
ŋa,524,335,18,12,27
ŋb,1,0,0,0,22
ŋc,1,0,0,0,0
ŋd,5,0,0,1,24
ŋe,55,138,25,22,35
ŋf,0,0,0,0,0
ŋg,244,0,0,0,40
ŋh,68,0,0,6,0
ŋi,119,119,44,6,78
ŋj,0,0,0,0,0
ŋk,260,0,4,0,1
ŋl,9,0,23,10,1
ŋm,9,0,0,1,0
ŋn,2,0,0,0,3
ŋo,34,136,4,16,3
ŋp,3,0,0,0,0
ŋq,0,0,0,0,1
ŋr,2,0,8,12,1
ŋs,30,1,0,0,5
ŋt,3,0,0,0,10
ŋu,100,169,30,17,4
ŋv,0,0,0,1,0
ŋw,0,87,0,0,0
ŋx,0,0,0,0,0
ŋy,0,0,0,0,0
ŋz,0,0,0,0,1
ŋŋ,0,0,0,0,0
