,aus,ban,fin,rom,tur,rand
aa_,0.0,0.42806122533852586,0.5526151031638895,0.0,0.0,0.019323671497584544
_aa,0.4227759498194635,0.01981293208621391,0.46550383871246015,0.0,0.0,0.09190727938186254
aa,0.23971557475698319,0.16189990828373094,0.5903160280035293,0.0,0.0,0.008068488955756454
ab_,0.07939973660497679,0.0,0.8305145444883436,0.03283195859615072,0.0,0.057253760310528874
_ab,0.25090656631323816,0.038167143410871726,0.07645380814766478,0.4458913808245796,0.07801896836806288,0.11056213293558313
ab,0.3692039362347252,0.22210697984307046,0.045759389166371955,0.1860552015600348,0.15956884440263885,0.017305648793158705
ac_,0.0,0.0,0.0,0.30742049469964655,0.4782096584216725,0.21436984687868085
_ac,0.02945492647725897,0.0,0.0,0.6836238866015542,0.22051912051912054,0.06640206640206642
ac,0.10693257217731612,0.0,0.0,0.6443026519657884,0.22493036230891314,0.023834413547982432
ad_,0.4931147049441787,0.0,0.3634925677830942,0.1177927272727273,0.0,0.025600000000000008
_ad,0.10061877922559033,0.0735319066898014,0.02422723475355053,0.4729251736682077,0.27355906105132116,0.05513784461152882
ad,0.19471578876098575,0.17359069755039877,0.1281557450683642,0.3297655963229178,0.16123041527922405,0.012541757018109362
ae_,0.0,0.5267980086855205,0.26877449422730637,0.08600783815273803,0.0,0.11841965893443492
_ae,0.0,0.15803814713896455,0.27656675749318793,0.276566757493188,0.0,0.28882833787465934
ae,0.0,0.27364973337993215,0.5365004569718401,0.13269992191792096,0.0,0.057149887730306666
af_,0.0,0.0,0.0,0.0,0.0,3.0
_af,0.0,0.12257136534631555,0.0,0.7309360477981854,0.0,0.146492586855499
af,0.0,0.7174842035785123,0.0,0.23301746866229048,0.0,0.049498327759197325
ag_,0.8894883054231136,0.0,0.0,0.0,0.059056422381874134,0.05145527219501209
_ag,0.13517268776217659,0.1246763237503409,0.0,0.31090144866764513,0.32304053631547947,0.106209003504358
ag,0.3420798879856265,0.1468214560419983,0.06747091477594765,0.16182784905179282,0.26638605736461934,0.01541383478001538
ah_,0.97659223091836,0.0,0.0,0.0,0.0,0.023407769081639974
_ah,0.18186704891596486,0.07274681956638593,0.32736068804873675,0.03637340978319294,0.1454936391327719,0.23615839455294757
ah,0.402856072149363,0.1863136028587839,0.25806937700878013,0.0020480577853784084,0.1377665548458467,0.012946335351847986
ai_,0.6832309832459952,0.21018181286293092,0.049736368654313835,0.027801732599522854,0.0,0.029049102637237267
_ai,0.06806497280381492,0.09345428805603159,0.6439162506519635,0.11722300871768125,0.0,0.07734147977050891
ai,0.2210228058861803,0.2746347307105003,0.43884400759796416,0.058405602711790086,0.0,0.007092853093565015
aj_,0.0,0.0,0.10999729070712541,0.49498780818206445,0.0,0.3950149011108102
_aj,0.040832206310095036,0.21093884717279868,0.44080598431525675,0.12352982253124906,0.0,0.18389313967060045
aj,0.12254805014611943,0.539173028575944,0.21432695499537496,0.09613337858150657,0.0,0.027818587701055122
ak_,0.6613490416680787,0.0,0.029346920563678568,0.0,0.28870923687532135,0.02059480089292144
_ak,0.2743243298336931,0.2927001667627597,0.04761012137319108,0.0,0.3248650131256677,0.060500368904688455
ak,0.37291899372568615,0.2202527647001535,0.2101921004482879,0.0,0.18795464356754363,0.008681497558328812
al_,0.5043987670828829,0.0,0.20345442014416812,0.14369932935487678,0.13735645734496935,0.01109102607310273
_al,0.09727310410097816,0.12011622418411393,0.2559066553785976,0.23274159092994948,0.2702565898324599,0.02370583557390086
al,0.20608590624765052,0.13813936281965786,0.23774565381925528,0.18307900373264746,0.23179174599636,0.003158327384429013
am_,0.7139434823466237,0.0,0.0672280395578825,0.005450396026312253,0.17498366671141544,0.03839441535776615
_am,0.19854928685948361,0.34349966255988434,0.08370528569270203,0.20799545672211206,0.08480234436491303,0.081447963800905
am,0.24848555814221035,0.34570958423254317,0.08747599567129961,0.1410059000919148,0.17301445316590355,0.004308508696128428
an_,0.5579584400544325,0.0,0.17181098678968304,0.05460488562521629,0.2109358559382573,0.004689831592411001
_an,0.18433295359592236,0.13396323472582666,0.12842389282943933,0.2955123547978828,0.22123657023530968,0.03653099381561916
an,0.21281420513609853,0.2570494364362864,0.16782132632970584,0.17920481407989555,0.17986583309025017,0.0032443849277634437
ao_,0.2204129845646282,0.7124254742547426,0.0,0.0,0.0,0.0671615411806292
_ao,0.20651068158697855,0.4130213631739573,0.0,0.0,0.0,0.3804679552390641
ao,0.07268322622572027,0.6604618396034279,0.21989919078937378,0.01874802812054599,0.0,0.028207715260932104
ap_,0.6876491232805773,0.0,0.0,0.0,0.2749267192728312,0.037424157446591555
_ap,0.1188847594817209,0.011986046124450447,0.07787781874295677,0.678421619889281,0.00844284158528185,0.10438691417630902
ap,0.3577396804944221,0.14347583414609438,0.15123324990560835,0.16207050671150347,0.1735824053243078,0.011898323418063819
aq_,0.0,0.0,0.0,0.0,0.9080927206181374,0.09190727938186255
_aq,0.0,0.0,0.0,0.1365777080062794,0.728414442700157,0.13500784929356355
aq,0.0,0.0,0.0,0.10621565535151396,0.8302407152546845,0.06354362939380158
ar_,0.32696945128487903,0.0,0.05727590903969912,0.33301608154549694,0.27298246056894915,0.00975609756097561
_ar,0.1764238040858101,0.03705540043164211,0.20625240300404163,0.24808511540593722,0.31167664257317196,0.020506634499396867
ar,0.19947183229907525,0.0863273675818218,0.17955433067194002,0.26618697589779367,0.26566146689448383,0.002798026654885502
as_,0.34592420034472726,0.0,0.20906300138319314,0.38663843352566124,0.04903848526413533,0.009335879482283049
_as,0.1635991204759318,0.05021496585953273,0.19853403620085794,0.30982689971741456,0.24383449508140911,0.03399048266485384
as,0.19574003338694795,0.13668663554766325,0.22803002223193397,0.15250158965526694,0.2820823742730498,0.004959344905138112
at_,0.4571613549617996,0.0,0.2092692059600587,0.2341428051818799,0.09215390662353444,0.007272727272727274
_at,0.12235579726199916,0.14745989590621456,0.02296494641126503,0.309496743991998,0.3351264132474048,0.06259620318111853
at,0.20257875136353548,0.19123700811500668,0.16403370797964162,0.23948562528994058,0.1952445775140442,0.007420329737831398
au_,0.5906258278820486,0.1769986346314524,0.012410588738766281,0.17558028163273623,0.0,0.04438466711499665
_au,0.0774041396148937,0.0659282919926752,0.3876543338327507,0.3814487264857666,0.0,0.08756450807391376
au,0.24437800152373912,0.2970834739724362,0.3098657646634582,0.1319710809917754,0.0,0.016701678848591122
av_,0.0,0.0,0.696552105816592,0.07864297968897002,0.0,0.22480491449443799
_av,0.0,0.009918889866119407,0.2946858419415846,0.4534818508171371,0.13461350532590632,0.10729991204925242
av,0.0,0.13128202183415724,0.40684860144338014,0.23915368328796585,0.19400755946320494,0.028708133971291863
aw_,0.5657476499611864,0.0,0.0,0.0,0.3821216094513084,0.05213074058750518
_aw,0.15140656668017838,0.043885961356573425,0.0,0.0,0.7098554249425754,0.09485204702067287
aw,0.37131245862681134,0.25820036408424596,0.0,0.0,0.3470794082073026,0.023407769081639978
ax_,0.0,0.0,0.0,0.0,0.0,3.0
_ax,0.0,0.0,0.0,0.19882468168462283,0.0,0.8011753183153771
ax,0.0,0.0,0.0,0.5521305530371714,0.0,0.4478694469628287
ay_,0.6549259380797783,0.0,0.0,0.005319288315908073,0.31318453541549207,0.026570238188821635
_ay,0.04376615384615384,0.0336,0.0,0.04138256410256409,0.833251282051282,0.047999999999999994
ay,0.2825491167024201,0.09966299952982834,0.0,0.023745785335476936,0.5826921796022321,0.0113499188300426
az_,0.0,0.0,0.0,0.19174352705856207,0.6880208912101344,0.1202355817313035
_az,0.0,0.11709286675639298,0.0,0.2224764468371467,0.4800807537012114,0.180349932705249
az,0.0,0.3563630596798551,0.0,0.30155351517676277,0.3261438967562325,0.015939528387149786
aŋ_,0.9693052714011905,0.0,0.0022787417528912215,0.0,0.01795959303893229,0.010456393806986083
_aŋ,0.5154596374993433,0.1363834861768954,0.022730581029482572,0.06819174308844772,0.13690803804680654,0.12032651415902451
aŋ,0.6108989290198631,0.17921565368290346,0.048843664754467254,0.024448740124783142,0.12301176251378763,0.013581249904195476
ba_,0.22152915249177363,0.41362405006314396,0.013721860125133784,0.16437340436206296,0.1176929950566178,0.0690585379012679
_ba,0.5531294084522561,0.07753934387607307,0.00954398627841824,0.09655486834639297,0.2554225195047457,0.007809873542113839
ba,0.4500879330590221,0.21929228528072822,0.016907261950911325,0.10288170321759889,0.19906012696184042,0.011770689529899007
bb_,0.0,0.0,0.0,0.0,0.0,3.0
_bb,0.0,0.0,0.0,0.0,0.0,3.0
bb,0.01562235458897045,0.0,0.0,0.7210617932497695,0.0788027617055183,0.1845130904557418
bc_,0.0,0.0,0.0,0.0,0.0,3.0
_bc,0.0,0.0,0.0,0.0,0.0,3.0
bc,0.0,0.0,0.0,0.0,0.0,3.0
bd_,0.0,0.0,0.0,0.0,0.0,3.0
_bd,0.0,0.0,0.0,0.0,0.0,3.0
bd,0.24988556928724107,0.0,0.0,0.0,0.31573988899109884,0.4343745417216601
be_,0.06828885400313973,0.24128728414442704,0.011381475667189955,0.30654107796964936,0.23749345892203033,0.1350078492935636
_be,0.4640526543768069,0.05458264567346495,0.0026430021646308443,0.04933976556805594,0.3855564151168979,0.04382551710014335
be,0.2644207120064894,0.1542469535626281,0.04014278461616252,0.1381464247475382,0.369838869937436,0.03320425512974586
bf_,0.0,0.0,0.0,0.0,0.0,3.0
_bf,0.0,0.0,0.0,0.0,0.0,3.0
bf,0.0,0.0,0.0,0.0,0.0,3.0
bg_,0.0,0.0,0.0,0.0,0.0,3.0
_bg,0.0,0.0,0.0,0.0,0.0,3.0
bg,0.0,0.0,0.0,0.0,0.0,3.0
bh_,0.0,0.0,0.0,0.0,0.0,3.0
_bh,0.0,0.0,0.0,0.0,0.0,3.0
bh,0.598499061913696,0.0,0.0,0.0,0.0,0.40150093808630394
bi_,0.27266134650706186,0.15198872632845653,0.08990753055925009,0.06410158971435807,0.30847742098929626,0.11286338590157705
_bi,0.4688197789256331,0.07627943039294152,0.014114865804477813,0.12280954766617178,0.2957516265755121,0.022224750635263784
bi,0.2975697623360196,0.24280768647425308,0.0261706273317328,0.18257415422018689,0.2305024345171642,0.020375335120643434
bj_,0.0,0.0,0.0,0.0,0.0,3.0
_bj,0.0,0.0,0.0,0.0,0.0,3.0
bj,0.2659859984048815,0.0,0.21972756389968473,0.10793634717879254,0.0,0.40635009051664117
bk_,0.0,0.0,0.0,0.0,0.0,3.0
_bk,0.0,0.0,0.0,0.0,0.0,3.0
bk,0.3453033453033453,0.0,0.0767340767340767,0.0,0.0,0.5779625779625779
bl_,0.0,0.0,0.19882468168462283,0.0,0.0,0.8011753183153771
_bl,0.0,0.0,0.0,0.5859354500131199,0.0,0.4140645499868801
bl,0.030928341385857698,0.0,0.042580572989929684,0.6734222011827791,0.12255742059663625,0.13051146384479717
bm_,0.0,0.0,0.0,0.0,0.0,3.0
_bm,0.0,0.0,0.0,0.0,0.0,3.0
bm,0.1859825927622538,0.0,0.0,0.0929912963811269,0.0,0.7210261108566194
bn_,0.0,0.0,0.0,0.0,0.0,3.0
_bn,0.0,0.0,0.0,0.0,0.0,3.0
bn,0.2977509778357235,0.0,0.0,0.0,0.23158409387222942,0.4706649282920471
bo_,0.4743232890704801,0.2530542712757379,0.0,0.10204021289177995,0.0,0.17058222676200205
_bo,0.204588422725603,0.14952583618844276,0.009962834566975847,0.1714354831627974,0.41820240508577905,0.046285018270401955
bo,0.29356230104827835,0.2458283722923969,0.016515887625499204,0.2165027202597767,0.19413936973241783,0.03345134904163107
bp_,0.0,0.0,0.0,0.0,0.0,3.0
_bp,0.0,0.0,0.0,0.0,0.0,3.0
bp,0.0,0.0,0.0,0.0,0.0,3.0
bq_,0.0,0.0,0.0,0.0,0.0,3.0
_bq,0.0,0.0,0.0,0.0,0.0,3.0
bq,0.0,0.0,0.0,0.0,0.0,3.0
br_,0.0,0.0,0.0,0.0,0.0,3.0
_br,0.0,0.0,0.0,0.810918774966711,0.0,0.18908122503328897
br,0.08355462971718818,0.0,0.12812247526161447,0.6269316397302067,0.03804708526818527,0.1233441700228056
bs_,0.0,0.0,0.0,0.0,0.0,3.0
_bs,0.0,0.0,0.0,0.0,0.0,3.0
bs,0.03053194379754695,0.0,0.10045994410805772,0.5160883403198261,0.014773521192361435,0.33814625058220776
bt_,0.0,0.0,0.0,0.0,0.0,3.0
_bt,0.0,0.0,0.0,0.0,0.0,3.0
bt,0.07993270332187853,0.0,0.0,0.5086626575028638,0.10899914089347072,0.30240549828178703
bu_,0.2102783426037676,0.6098643543055046,0.0,0.0031623878364905123,0.03686440677966101,0.1398305084745763
_bu,0.47816109299463094,0.038843629043672355,0.00854278715909393,0.12460615121841377,0.33208075859191627,0.017765580992272694
bu,0.42864670488538653,0.1600907389331543,0.048955172617678185,0.17458166443870993,0.1640198835511703,0.023705835573900862
bv_,0.0,0.0,0.0,0.0,0.0,3.0
_bv,0.0,0.0,0.0,0.0,0.0,3.0
bv,0.0,0.0,0.0,0.18770226537216822,0.09385113268608411,0.7184466019417477
bw_,0.0,0.0,0.0,0.0,0.0,3.0
_bw,0.0,0.48448687350835323,0.0,0.0,0.10766374966852288,0.40784937682312383
bw,0.0,0.6730007277431875,0.0,0.0,0.09848791137705186,0.2285113608797607
bx_,0.0,0.0,0.0,0.0,0.0,3.0
_bx,0.0,0.0,0.0,0.0,0.0,3.0
bx,0.0,0.0,0.0,0.0,0.0,3.0
by_,0.0,0.0,0.0,0.0,0.0,3.0
_by,0.0,0.0,0.0,0.0,0.0,3.0
by,0.0,0.0,0.0,0.0,0.11271515824541915,0.8872848417545808
bz_,0.0,0.0,0.0,0.0,0.0,3.0
_bz,0.0,0.0,0.0,0.0,0.0,3.0
bz,0.0,0.0,0.0,0.0,0.16013673415724428,0.8398632658427557
bŋ_,0.0,0.0,0.0,0.0,0.0,3.0
_bŋ,0.0,0.0,0.0,0.0,0.0,3.0
bŋ,0.0,0.0,0.0,0.0,0.0,3.0
ca_,0.05562749872808126,0.0,0.0,0.539024687194284,0.34367492102375014,0.06167289305388463
_ca,0.12904984954018964,0.0,0.0,0.6588153154467749,0.19162820051363866,0.020506634499396863
ca,0.2282335447186964,0.0,0.0,0.5700360662031126,0.18275777407908594,0.018972614999105065
cb_,0.0,0.0,0.0,0.0,0.0,3.0
_cb,0.0,0.0,0.0,0.0,0.0,3.0
cb,0.0,0.0,0.0,0.0,0.37066342057212415,0.6293365794278759
cc_,0.0,0.0,0.0,0.0,0.0,3.0
_cc,0.0,0.0,0.0,0.0,0.0,3.0
cc,0.004768803794992169,0.0,0.0,0.8790222093292076,0.009694902368757995,0.10651408450704228
cd_,0.0,0.0,0.0,0.0,0.0,3.0
_cd,0.0,0.0,0.0,0.0,0.0,3.0
cd,0.0,0.0,0.0,0.0,0.0,3.0
ce_,0.0,0.0,0.0,0.5793572914885127,0.35804650533036886,0.06259620318111854
_ce,0.13636269768371242,0.0,0.0,0.47523790610647687,0.34521184825409446,0.043187547955716325
ce,0.06901741488357734,0.0,0.0,0.635065221289664,0.27191705111910114,0.024000312707657425
cf_,0.0,0.0,0.0,0.0,0.0,3.0
_cf,0.0,0.0,0.0,0.0,0.0,3.0
cf,0.0,0.0,0.0,0.0,0.0,3.0
cg_,0.0,0.0,0.0,0.0,0.0,3.0
_cg,0.0,0.0,0.0,0.0,0.0,3.0
cg,0.0,0.0,0.0,0.0,0.20484359233097876,0.7951564076690213
ch_,0.0,0.0,0.0,0.0,0.0,3.0
_ch,0.0,0.0,0.0,0.738181818181818,0.0,0.26181818181818184
ch,0.0,0.0,0.0,0.9068283343969368,0.0,0.09317166560306318
ci_,0.06371197345708071,0.0,0.0,0.2685899845903771,0.6097250780679502,0.05797296388459211
_ci,0.10732896741943147,0.0,0.0,0.5003902628584117,0.35580812420629365,0.03647264551586311
ci,0.027307320480416,0.0,0.0,0.6319399729722478,0.3229679543569347,0.017784752190401463
cj_,0.0,0.0,0.0,0.0,0.0,3.0
_cj,0.0,0.0,0.0,0.0,0.0,3.0
cj,0.0,0.0,0.0,0.0,0.0,3.0
ck_,0.0,0.0,0.0,0.0,0.0,3.0
_ck,0.0,0.0,0.0,0.0,0.0,3.0
ck,0.08039603960396033,0.0,0.0,0.0,0.32158415841584154,0.5980198019801982
cl_,0.0,0.0,0.0,0.0,0.0,3.0
_cl,0.0,0.0,0.0,0.7650335900376863,0.0,0.23496640996231363
cl,0.019649268362544502,0.0,0.0,0.6143713371634614,0.2592190940161961,0.10676030045779815
cm_,0.0,0.0,0.0,0.0,0.0,3.0
_cm,0.0,0.0,0.0,0.0,0.0,3.0
cm,0.0,0.0,0.0,0.0390497258824661,0.6833702029431566,0.2775800711743772
cn_,0.0,0.0,0.0,0.0,0.0,3.0
_cn,0.0,0.0,0.0,0.19882468168462283,0.0,0.8011753183153771
cn,0.0,0.0,0.0,0.5264156055269574,0.07856949336223241,0.3950149011108101
co_,0.003994490358126722,0.0,0.0,0.8747933884297521,0.0,0.12121212121212122
_co,0.05944354787738266,0.0,0.0,0.7444237682054933,0.1687308179004811,0.02740186601664285
co,0.058855473431319416,0.0,0.0,0.824189761937162,0.07971438428434659,0.03724038034717193
cp_,0.0,0.0,0.0,0.0,0.0,3.0
_cp,0.0,0.0,0.0,0.0,0.0,3.0
cp,0.0,0.0,0.0,0.0,0.0,3.0
cq_,0.0,0.0,0.0,0.0,0.0,3.0
_cq,0.0,0.0,0.0,0.0,0.0,3.0
cq,0.0,0.0,0.0,0.43718592964824116,0.0,0.5628140703517588
cr_,0.0,0.0,0.0,0.0,0.0,3.0
_cr,0.0,0.0,0.0,0.8384580082606701,0.0,0.16154199173932998
cr,0.0,0.0,0.0,0.7744291737791978,0.10520491384718635,0.1203659123736158
cs_,0.0,0.0,0.0,0.0,0.0,3.0
_cs,0.0,0.0,0.0,0.0,0.0,3.0
cs,0.0,0.0,0.0,0.2815533980582523,0.0,0.7184466019417476
ct_,0.0,0.0,0.0,0.5062344139650873,0.0,0.4937655860349127
_ct,0.0,0.0,0.0,0.0,0.0,3.0
ct,0.0,0.0,0.0,0.8911477645654861,0.0,0.10885223543451392
cu_,0.15909658214404762,0.0,0.0,0.2188954953139172,0.5016814083830108,0.12032651415902451
_cu,0.09157757026210131,0.0,0.0,0.8009112644922632,0.06122614697523346,0.04628501827040195
cu,0.07522969956630528,0.0,0.0,0.6631612334838779,0.2340002790281563,0.027608787921660577
cv_,0.0,0.0,0.0,0.0,0.0,3.0
_cv,0.0,0.0,0.0,0.0,0.0,3.0
cv,0.0,0.0,0.0,0.27897388914338067,0.0,0.7210261108566194
cw_,0.0,0.0,0.0,0.0,0.0,3.0
_cw,0.0,0.0,0.0,0.0,0.0,3.0
cw,0.0,0.0,0.0,0.0,0.0,3.0
cx_,0.0,0.0,0.0,0.0,0.0,3.0
_cx,0.0,0.0,0.0,0.0,0.0,3.0
cx,0.0,0.0,0.0,0.0,0.0,3.0
cy_,0.0,0.0,0.0,0.0,0.0,3.0
_cy,0.0,0.0,0.0,0.0,0.0,3.0
cy,0.0,0.0,0.0,0.0,0.20484359233097876,0.7951564076690213
cz_,0.0,0.0,0.0,0.0,0.0,3.0
_cz,0.0,0.0,0.0,0.0,0.0,3.0
cz,0.0,0.0,0.0,0.0,0.27897388914338067,0.7210261108566194
cŋ_,0.0,0.0,0.0,0.0,0.0,3.0
_cŋ,0.0,0.0,0.0,0.0,0.0,3.0
cŋ,0.0,0.0,0.0,0.0,0.0,3.0
da_,0.18749570988602646,0.06135556882025219,0.1562042932364882,0.1285842841649783,0.4379870681301057,0.028373075762149116
_da,0.4578874001912307,0.07272832596930774,0.008323559420621521,0.10589837644690749,0.33656806500800557,0.018594272963927114
da,0.279614060782552,0.08823399896499637,0.12158345360303809,0.13285541044450522,0.36568902810871584,0.012024048096192383
db_,0.0,0.0,0.0,0.0,0.0,3.0
_db,0.0,0.0,0.0,0.0,0.0,3.0
db,0.0,0.0,0.0,0.20484359233097876,0.0,0.7951564076690213
dc_,0.0,0.0,0.0,0.0,0.0,3.0
_dc,0.0,0.0,0.0,0.0,0.0,3.0
dc,0.0,0.0,0.0,0.0,0.0,3.0
dd_,0.0,0.0,0.0,0.0,0.0,3.0
_dd,0.0,0.0,0.0,0.0,0.0,3.0
dd,0.04514421687014922,0.0,0.0,0.23088579773315243,0.44778226254809084,0.27618772284860754
de_,0.04025609410709673,0.01437203223100656,0.2618002007495767,0.07611275398301384,0.5725364503639709,0.03492246856533522
_de,0.13850784082928244,0.01883313993950551,0.014248550176292861,0.5397416314536476,0.2754445992026725,0.01322423839859908
de,0.0607212789426128,0.05399700028344662,0.17124323694175145,0.3106739492317831,0.3922302270151592,0.011134307585247048
df_,0.0,0.0,0.0,0.0,0.0,3.0
_df,0.0,0.0,0.0,0.0,0.0,3.0
df,0.0,0.0,0.0,0.0,0.0,3.0
dg_,0.0,0.0,0.0,0.0,0.0,3.0
_dg,0.0,0.0,0.0,0.0,0.0,3.0
dg,0.3464163822525596,0.0,0.0,0.0,0.0,0.6535836177474403
dh_,0.0,0.0,0.0,0.0,0.0,3.0
_dh,0.0,0.7801691006917756,0.0,0.0,0.0,0.21983089930822447
dh,0.008525537258547083,0.8731351361641402,0.0,0.0,0.0,0.11833932657731287
di_,0.07097485070774336,0.18453039916265487,0.05187022171257443,0.016202562698493378,0.6436003669890475,0.03282159872948651
_di,0.5996394951194735,0.017769692632318444,0.011766834575702472,0.25343967724132366,0.11101638711083806,0.006367913320344058
di,0.27501980071342846,0.09303846894051142,0.05648340263102965,0.23651618481716172,0.3308997933101666,0.008042349587702334
dj_,0.0,0.0,0.0,0.0,0.0,3.0
_dj,0.0,0.0,0.0,0.0,0.0,3.0
dj,0.06983144134846919,0.0,0.27932576539387677,0.13966288269693847,0.0,0.5111799105607157
dk_,0.0,0.0,0.0,0.0,0.0,3.0
_dk,0.0,0.0,0.0,0.0,0.0,3.0
dk,0.20665083135391923,0.0,0.2755344418052257,0.0,0.0,0.517814726840855
dl_,0.0,0.0,0.0,0.0,0.0,3.0
_dl,0.0,0.0,0.0,0.0,0.0,3.0
dl,0.14368626155474387,0.0,0.4961025871614636,0.0,0.13142263292161432,0.22878851836217814
dm_,0.0,0.0,0.0,0.0,0.0,3.0
_dm,0.0,0.0,0.0,0.0,0.0,3.0
dm,0.0,0.0,0.6014054149163129,0.16207139243847188,0.0,0.23652319264521524
dn_,0.0,0.0,0.0,0.19882468168462283,0.0,0.8011753183153771
_dn,0.0,0.0,0.0,0.0,0.0,3.0
dn,0.09323688138707081,0.0,0.5827305086691928,0.0,0.0,0.3240326099437364
do_,0.08456140489860245,0.0652654773398654,0.0,0.756666374316323,0.0007343594106892229,0.09277238403451998
_do,0.08965106979163764,0.06828182952832929,0.07392308882495267,0.41893670784667936,0.31578372077620964,0.03342358323219121
do,0.09650658967760763,0.17733724030697973,0.15924873399784423,0.4084947280033566,0.12354741482879177,0.03486529318541996
dp_,0.0,0.0,0.0,0.0,0.0,3.0
_dp,0.0,0.0,0.0,0.0,0.0,3.0
dp,0.0,0.0,0.0,0.20484359233097876,0.0,0.7951564076690213
dq_,0.0,0.0,0.0,0.0,0.0,3.0
_dq,0.0,0.0,0.0,0.0,0.0,3.0
dq,0.0,0.0,0.0,0.39264990328820115,0.0,0.6073500967117988
dr_,0.0,0.0,0.19882468168462283,0.0,0.0,0.8011753183153771
_dr,0.0,0.0,0.0,0.7328519855595668,0.0,0.26714801444043323
dr,0.13292482122155508,0.0,0.2309195609288003,0.3735204414448311,0.0899403215907533,0.17269485481406016
ds_,0.0,0.0,0.0,0.0,0.0,3.0
_ds,0.0,0.0,0.0,0.0,0.0,3.0
ds,0.0,0.0,0.6355666875391359,0.0,0.0,0.36443331246086413
dt_,0.0,0.0,0.0,0.0,0.0,3.0
_dt,0.0,0.0,0.0,0.0,0.0,3.0
dt,0.1033254156769596,0.0,0.3099762470308789,0.0,0.06888361045130638,0.517814726840855
du_,0.10154649116462958,0.16874894530025794,0.18442910179187025,0.006292037318290291,0.43874476094046494,0.10023866348448689
_du,0.21569196354488182,0.09081312658617156,0.021829261007228613,0.2425973939768073,0.39683215953871315,0.03223609534619751
du,0.23794197575496057,0.14894914902884515,0.12685390372096614,0.2367963789411868,0.2282140543590736,0.0212445381949676
dv_,0.0,0.0,0.0,0.0,0.0,3.0
_dv,0.0,0.0,0.0,0.0,0.0,3.0
dv,0.0,0.0,0.29787234042553185,0.0,0.1489361702127659,0.5531914893617021
dw_,0.0,0.0,0.0,0.0,0.0,3.0
_dw,0.0,0.0,0.0,0.0,0.0,3.0
dw,0.20131332082551592,0.3971857410881801,0.0,0.0,0.0,0.40150093808630394
dx_,0.0,0.0,0.0,0.0,0.0,3.0
_dx,0.0,0.0,0.0,0.0,0.0,3.0
dx,0.0,0.0,0.0,0.0,0.0,3.0
dy_,0.0,0.0,0.0,0.0,0.0,3.0
_dy,0.0,0.0,0.0,0.0,0.0,3.0
dy,0.0,0.0,0.0,0.06573834196891186,0.46016839378238333,0.47409326424870474
dz_,0.0,0.0,0.0,0.0,0.0,3.0
_dz,0.0,0.0,0.0,0.0,0.0,3.0
dz,0.0,0.0,0.0,0.03374896093100582,0.47248545303408135,0.4937655860349127
dŋ_,0.0,0.0,0.0,0.0,0.0,3.0
_dŋ,0.0,0.0,0.0,0.0,0.0,3.0
dŋ,0.0,0.0,0.0,0.0,0.0,3.0
ea_,0.011549814049557508,0.600148687585609,0.0848451150417417,0.28074497984655633,0.0,0.022711403476535223
_ea,0.0,0.0,0.33777038269550735,0.0,0.0,0.6622296173044926
