,aus,ban,fin,rom,tur,rand
aaa_,0.0,0.0,0.0,0.0,0.0,3.0
aaa,0.0,0.0,0.4,0.0,0.0,0.5999999999999999
aab_,0.0,0.0,0.1999999999999999,0.0,0.0,0.8
aab,0.3062499999999999,0.175,0.21875,0.0,0.0,0.3
aac_,0.0,0.0,0.0,0.0,0.0,3.0
aac,0.0,0.0,0.0,0.0,0.0,3.0
aad_,0.5142857142857142,0.0,0.0857142857142857,0.0,0.0,0.3999999999999999
aad,0.0305084745762711,0.2593220338983051,0.6101694915254238,0.0,0.0,0.0999999999999999
aae_,0.0,0.0,0.0,0.0,0.0,3.0
aae,0.0,0.0,0.4,0.0,0.0,0.6
aaf_,0.0,0.0,0.0,0.0,0.0,3.0
aaf,0.0,0.7,0.0,0.0,0.0,0.3
aag_,0.0,0.0,0.0,0.0,0.0,3.0
aag,0.2882352941176471,0.1647058823529411,0.2470588235294117,0.0,0.0,0.3
aah_,0.1999999999999999,0.0,0.0,0.0,0.0,0.8
aah,0.0666666666666666,0.0,0.5333333333333333,0.0,0.0,0.4
aai_,0.0,0.0,0.0,0.0,0.0,3.0
aai,0.0,0.072,0.828,0.0,0.0,0.0999999999999999
aaj_,0.0,0.0,0.0,0.0,0.0,3.0
aaj,0.0,0.1666666666666666,0.8333333333333334,0.0,0.0,0.0
aak_,0.0,0.0,0.1999999999999999,0.0,0.0,0.8
aak,0.1481481481481481,0.037037037037037,0.8148148148148148,0.0,0.0,0.0
aal_,0.0,0.0,0.8999999999999999,0.0,0.0,0.1
aal,0.2108843537414966,0.0816326530612244,0.7074829931972789,0.0,0.0,0.0
aam_,0.0,0.0,0.4,0.0,0.0,0.6
aam,0.05,0.35,0.5,0.0,0.0,0.1
aan_,0.3694852941176471,0.0,0.6305147058823529,0.0,0.0,0.0
aan,0.0985221674876847,0.3596059113300492,0.541871921182266,0.0,0.0,0.0
aao_,0.0,0.3,0.0,0.0,0.0,0.7
aao,0.0,0.0,0.7,0.0,0.0,0.3
aap_,0.0,0.0,0.0,0.0,0.0,3.0
aap,0.2625,0.0583333333333333,0.3791666666666666,0.0,0.0,0.3
aaq_,0.0,0.0,0.0,0.0,0.0,3.0
aaq,0.0,0.0,0.0,0.0,0.0,3.0
aar_,0.0,0.0,0.5,0.0,0.0,0.5
aar,0.1138211382113821,0.073170731707317,0.8130081300813008,0.0,0.0,0.0
aas_,0.75,0.0,0.05,0.0,0.0,0.2
aas,0.128,0.08,0.792,0.0,0.0,0.0
aat_,0.1777777777777777,0.0,0.6222222222222222,0.0,0.0,0.2
aat,0.0229885057471264,0.057471264367816,0.9195402298850576,0.0,0.0,0.0
aau_,0.0,0.0,0.0,0.0,0.0,3.0
aau,0.0,0.0,0.0,0.0,0.0,3.0
aav_,0.0,0.0,0.4,0.0,0.0,0.5999999999999999
aav,0.0,0.0,1.0,0.0,0.0,0.0
aaw_,0.0,0.0,0.0,0.0,0.0,3.0
aaw,0.7,0.0,0.0,0.0,0.0,0.3
aax_,0.0,0.0,0.0,0.0,0.0,3.0
aax,0.0,0.0,0.0,0.0,0.0,3.0
aay_,0.0,0.0,0.0,0.0,0.0,3.0
aay,0.5,0.1,0.0,0.0,0.0,0.4000000000000001
aaz_,0.0,0.0,0.0,0.0,0.0,3.0
aaz,0.0,0.6,0.0,0.0,0.0,0.4
aaŋ_,0.9,0.0,0.0,0.0,0.0,0.0999999999999999
aaŋ,0.42,0.2799999999999999,0.0,0.0,0.0,0.3
aba_,0.1741935483870967,0.2903225806451613,0.014516129032258,0.4064516129032258,0.014516129032258,0.1
aba,0.5805860805860806,0.238095238095238,0.0274725274725274,0.0641025641025641,0.0897435897435897,0.0
abb_,0.0,0.0,0.0,0.0,0.0,3.0
abb,0.0,0.0,0.0,0.5923076923076923,0.1076923076923076,0.3
abc_,0.0,0.0,0.0,0.0,0.0,3.0
abc,0.0,0.0,0.0,0.0,0.0,3.0
abd_,0.0,0.0,0.0,0.0,0.0,3.0
abd,0.2727272727272727,0.0,0.0,0.0,0.3272727272727272,0.3999999999999999
abe_,0.2,0.1,0.0,0.0,0.0,0.7
abe,0.2618181818181818,0.16,0.0436363636363636,0.1454545454545454,0.1890909090909091,0.2
abf_,0.0,0.0,0.0,0.0,0.0,3.0
abf,0.0,0.0,0.0,0.0,0.0,3.0
abg_,0.0,0.0,0.0,0.0,0.0,3.0
abg,0.0,0.0,0.0,0.0,0.0,3.0
abh_,0.0,0.0,0.0,0.0,0.0,3.0
abh,0.1999999999999999,0.0,0.0,0.0,0.0,0.8
abi_,0.4571428571428571,0.0380952380952381,0.0761904761904762,0.0,0.2285714285714285,0.2
abi,0.2804232804232804,0.3306878306878307,0.0343915343915343,0.1269841269841269,0.2275132275132275,0.0
abj_,0.0,0.0,0.0,0.0,0.0,3.0
abj,0.0999999999999999,0.0,0.0999999999999999,0.0,0.0,0.8
abk_,0.0,0.0,0.0,0.0,0.0,3.0
abk,0.3,0.0,0.0,0.0,0.0,0.7
abl_,0.0,0.0,0.0,0.0,0.0,3.0
abl,0.0243243243243243,0.0,0.0,0.6567567567567567,0.2189189189189189,0.1
abm_,0.0,0.0,0.0,0.0,0.0,3.0
abm,0.0,0.0,0.0,0.0,0.0,3.0
abn_,0.0,0.0,0.0,0.0,0.0,3.0
abn,0.0,0.0,0.0,0.0,0.0,3.0
abo_,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,0.8
abo,0.2960526315789474,0.2368421052631579,0.0118421052631578,0.3315789473684211,0.0236842105263157,0.1
abp_,0.0,0.0,0.0,0.0,0.0,3.0
abp,0.0,0.0,0.0,0.0,0.0,3.0
abq_,0.0,0.0,0.0,0.0,0.0,3.0
abq,0.0,0.0,0.0,0.0,0.0,3.0
abr_,0.0,0.0,0.0,0.0,0.0,3.0
abr,0.25,0.0,0.0,0.45,0.0,0.3
abs_,0.0,0.0,0.0,0.0,0.0,3.0
abs,0.0625,0.0,0.125,0.25,0.0625,0.5
abt_,0.0,0.0,0.0,0.0,0.0,3.0
abt,0.0999999999999999,0.0,0.0,0.0,0.0999999999999999,0.8
